asn,name,category
208177,Center-invest Bank,company
208272,VR-Group Ltd,company
208315,Frauscher Sensor Technology Group GmbH,company
208840,F&B Capital GmbH,company
208880,YAPI VE KREDI BANKASI A.S.,company
208938,Food Union,company
208987,Suomen Videoviestinta SVV Oy,company
209195,CAJA DE SEGUROS REUNIDOS COMPANIA DE SEGUROS Y REASEG...,company
209199,Cloud Unboxed Limited,company
209299,Ambientia Group Oy,company
209379,Pengutronix e.K.,company
209623,GASCADE Gastransport GmbH,company
209704,Belgium National Railway Company,company
209818,OMEGA LTD,company
209846,SWP Stadtwerke Pforzheim GmbH & Co. KG,company
209915,trivago N.V.,company
209994,LV Informatique SASU,company
210000,TwentyWAN MB,company
210035,Stiftung Mathias-Spital Rheine,company
210167,Valmet Automation Oy,company
210303,Hamburg Port Authority AoeR,company
210333,Inter Krankenversicherung AG,company
210668,SIA Spotrix,company
210886,Magnetiq Bank,company
211135,Mirka Oy,company
211169,CaramelFox Networks LLC,company
211424,SIA LSK Studios,company
211452,Kanton Appenzell Ausserrhoden,company
211527,SIA Orkla Latvija,company
211727,Horst Bode Import-Export GmbH,company
211793,Ingo Armenia Insurance CJSC,company
211838,SIA Aizdevums.lv,company
211885,Prodimpekss Logistikas Grupa SIA,company
212038,ACTICO GmbH,company
212065,WDES SAS,company
212132,Evolution Latvia SIA,company
212223,Buy Way Personal Finance SA,company
212664,Pori Energia Oy,company
212676,SIA Decta,company
212717,Tietoevry Latvia SIA,company
212828,Tom Hatzer trading as twopeaks digital e.U.,company
213002,DH Bulut Bilisim Anonim Sirketi,company
213022,SIA DPD Latvija,company
213202,Cloudnet Computing Ltd,company
213427,Lettermint B.V.,company
213685,NarDatabank Bilisim ve Teknoloji Anonim Sirketi,company
214710,nLogic AS,company
214792,Hamburger Hochbahn AG,company
215044,OBT AG,company
215057,Opera della Primaziale Pisana,company
215168,Akos Miklos,company
215444,MOA Group GmbH,company
215449,Avionero AB,company
215537,E-karte SIA,company
215712,Printful Latvia AS,company
215756,Schmitz-Werke GmbH + Co. KG,company
215823,Spaugur ehf.,company
215833,Ablative Consulting Ltd,company
215955,ALTEASYSTEMS OU,company
216421,Adven Group Oy,company
262303,eCentry Tecnologia da Informacao Ltda,company
263358,Centro B. de P. em A. e S. e de P de Eventos,company
268850,IXC Soft,company
270421,NU PAGAMENTOS SA,company
270532,IB TURBO,company
271541,HAVAN SA,company
273731,MGDATA TECNOLOGIA LTDA,company
274524,Eucatur Transporte e Turismo Ltda,company
328238,INFOSET SARL,company
328578,KEMNET TECHNOLOGIES LIMITED,company
328964,Insight Actuarial Solutions (Pty) Ltd,company
329016,Adumo Technologies (Pty) Ltd,company
329265,Commercial Bank of Ethiopia,company
329418,International Centre for Research in Agroforestry,company
393658,"Atypon Systems, Inc.",company
394230,"Civilized Discourse Construction Kit, Inc.",company
394265,Box.com,company
394270,Cabi LLC,company
394337,Simeon Networks LLC,company
394456,Epik LLC,company
394637,LightChange Technologies,company
394649,"LotusFlare, Inc.",company
395044,APT Labs,company
395266,"Keysight Technologies, Inc",company
395677,GTAA,company
396320,Metropolitan Airports Commission,company
396940,HTH,company
397045,D. Brown Management,company
397140,Amarillo National Bank,company
397441,Nebula Mods,company
397700,LXXIX Project Lab LLC,company
397736,Beacon Federal Credit Union,company
398726,Cabbit Technology LLC,company
399140,"Red Hat, Inc.",company
399265,"Red Hat, Inc.",company
399358,"Anthropic, PBC",company
399647,Rumble USA Inc.,company
399728,P Foundation,company
399838,"VITAL GAME NETWORK, LLC",company
399976,Nova Networks Inc,company
400172,"RackOrbit, LLC",company
400422,Modern Treasury Corp.,company
400979,CPAC,company
